CMG1
0,0,3.14,-270.513,157.869,764.401
0,0,3.14,-270.513,219.775,764.4
0,0,3.14,-270.513,239.503,732.421
2.9655,0,3.14,-270.513,239.504,665.838
2.9655,0,3.14,-270.513,239.49,599.301
3.14,0,3.14,-270.513,219.301,567.312
3.14,0,3.14,-270.513,157.37,567.295
3.14,0,3.14,-270.513,95.4586,567.292
3.14,0,3.14,-270.513,33.0394,567.309
3.14,0,3.14,-270.513,-28.8815,567.319
3.14,0,3.14,-270.513,-90.814,567.323
3.489,0,3.14,-270.513,-111.002,599.326
3.489,0,3.14,-270.513,-111.008,665.879
-0.2618,0,3.14,-270.513,-110.998,732.403
PCDU
0,0,-1.5708,117.3,-258.813,777.3
0,0,-1.5708,7.3,-258.813,777.3
0,0,-1.5708,-102.7,-258.813,777.3
0,0,-1.5708,-102.7,-258.813,682.3
3.14,0,-1.5708,-102.7,-258.813,587.3
3.14,0,-1.5708,7.3,-258.813,587.3
3.14,0,-1.5708,117.3,-258.813,587.3
3.14,0,-1.5708,117.3,-258.813,682.3
OUT
0,1.5708,0,295.85,248.2,69.713
0,1.5708,0,295.853,153.193,69.713
0,1.5708,0,295.866,58.1914,69.713
0,1.5708,0,295.849,-50.8063,69.713
0,1.5708,0,295.852,-159.851,69.713
0,1.5708,0,295.862,-254.865,69.713
